Run;JS 16;WASM 16;JS 32;WASM 32;JS 64;WASM 64;JS 128;WASM 128;JS 256;WASM 256;JS 512;WASM 512;JS 768;WASM 768;JS 1024;WASM 1024;
345;0;0;0;0;1;0;2;0;7;1;27;8;62;17;108;31;
346;0;0;0;1;0;0;2;0;7;2;27;8;61;17;108;31;
347;0;0;1;0;0;0;2;0;6;2;28;8;59;18;105;31;
348;0;0;0;0;0;1;1;1;6;2;26;8;60;17;106;31;
349;0;0;0;0;1;0;2;0;6;2;27;8;59;18;105;31;
350;0;0;0;0;1;0;1;1;6;2;26;7;55;16;95;29;
351;0;0;0;0;1;0;1;1;6;2;24;7;54;17;96;30;
352;0;0;0;0;1;0;2;0;6;2;24;8;54;17;96;29;
353;0;0;0;0;1;0;2;0;6;2;24;7;56;17;104;44;
354;0;0;0;1;0;0;2;0;6;2;26;8;59;17;106;31;
355;0;0;0;0;0;1;1;1;6;2;26;8;61;17;108;31;
356;0;0;0;0;1;0;2;0;7;2;26;8;60;17;106;31;
357;0;0;0;0;1;0;2;0;7;2;27;8;59;17;106;31;
358;0;0;1;0;0;0;2;0;6;2;26;7;59;17;105;31;
359;0;0;0;0;1;0;2;0;6;2;26;8;59;18;105;31;
